,vtitle,vpoint,vreview
1,최미역행,1,충격과 공포였읍니다 홍콩독립 만세
2,퍼펙트 케어,2,이 영화를 보고 잘 만들었다고 질질 짜는 애들은 눈과 귀와 머리가 터져버린애들일 것이다. 이 영화는 공감이 1도 안되는 여자와 그 여자가 벌이는 범죄극을 그렸을 뿐 아무것도 없다.
3,세자매,10,난데없이 눈물이 나네.중간중간 웃음포인트도 있고연기력이 좋아서 몰입이 잘  됨.
4,미나리,10,
5,완벽한 타인,9,내 안에 있는 타인과내가 바깥으로 대하는 타인그리고 나를 바라보는 타인의 두가지 시선 때로는 감추고 포장해야 관계는 평화로울 수 있다
6,우아한 거짓말,10,"펑펑 울면서 봤다ㅠㅠ스토리도 탄탄하고 아주 잘만든 영화!! 배우들 누구하나 빠짐없이 모두 연기대박!!! ""말"" 항상 조심하자.."
7,명탐정 코난: 진홍의 수학여행,8,죽은사람이 불쌍하군영
8,노아,1,성경에 나온 노아가 아닌대?싸이코 패스 인줄...차라리 판타지할거면 좀 멋드러지게 하던가..심하다
9,미나리,2,재미없어요기다리다가 개봉  동시에 예약하고 보러갔는데기대이하 지겨웠어요
10,이미테이션 게임,8,어떤 위대한 업적을 이뤄낸 사람들의 공통점일까? 정말 평범한 열정이 아니라고 생각한다. 사람 자체로도 특이하고 유별나긴 했지만 무언가를 향한 그 집념과 끈기에서 특히 더 두드러졌다고 생각한다. 특히 지금의 나와 연결지을 수 있어서일까. 그 부분에서 참 나를 부끄럽게 했다. 지금의 나는 목표를 향해 나아가는데 있어서 저런 열정 하나 없다. 남들보다도 덜 열심히 하면서 내가 뭘 해낼 수 있을까 싶어서 반성하고 반성한다.
