"","title","point","review"
"1","노아","1","성경에 나온 노아가 아닌대?싸이코 패스 인줄...차라리 판타지할거면 좀 멋드러지게 하던가..심하다"
"2","미나리","2","재미없어요기다리다가 개봉  동시에 예약하고 보러갔는데기대이하 지겨웠어요"
"3","이미테이션 게임","8","어떤 위대한 업적을 이뤄낸 사람들의 공통점일까? 정말 평범한 열정이 아니라고 생각한다. 사람 자체로도 특이하고 유별나긴 했지만 무언가를 향한 그 집념과 끈기에서 특히 더 두드러졌다고 생각한다. 특히 지금의 나와 연결지을 수 있어서일까. 그 부분에서 참 나를 부끄럽게 했다. 지금의 나는 목표를 향해 나아가는데 있어서 저런 열정 하나 없다. 남들보다도 덜 열심히 하면서 내가 뭘 해낼 수 있을까 싶어서 반성하고 반성한다."
"4","라스트 레터","10","그는 이제 첫사랑을 보내줄 수 있게 된 듯 하다"
"5","극장판 귀멸의 칼날: 무한열차편","10","그냥 말해뭐해,,,,"
"6","아이","10","재밌는데 슬퍼요ㅜㅜ 모두들 화이팅!!"
"7","미나리","6","겪어보지 않은 일이라도 영화는 공감을 이끌어 낼 수 있다. 하지만, 나에겐 넘 어려운 문제였다.할머니와 데이빗의 상황에서 눈물이 나는 코드도 있었지만 크게 감동적인 영화라고 보긴 어려웠다.그냥 짧은 시를 한 편 읽은 듯한 느낌이 든다."
"8","극장판 귀멸의 칼날: 무한열차편","10","너무 재밌다 근데 슬프다 ㅜㅜ"
"9","미나리","8","방금 영화보고 집에오자마자 티비 켰는데 윤스테이에 나오시는 윤여정 배우님 보고 왜 눈물 나냐구요 ㅠㅠ여운남아요ㅠㅠ"
"10","소울","10","최고다 진짜눈물이 흐르네요"
"11","머니백","5","평점이 나쁘지않아 넷플로봤는데..뭔가 계속 아쉽네요.터질듯터질듯하면서 아쉬운느낌이랄까..따로 시간을 내서 볼필요까진없는듯"
"12","미션 파서블","10","오랜만에 아무생각 없이 넘 재밋게 봣어요 ㅠㅠㅠ 웃음포인트도 많고 계속 생각나요 ㅋㅋㅋㅋ"
"13","화려한 휴가","10","아니 ㅅㅂ 한국사 공부를 안했나 ㅁㅊㅅㅋ들이 이걸 폭동이라 하네 정신병자들이 일베충 내눈에 띄지마라 OO다 진짜"
"14","아메리칸 허슬","7","시간 남아서 본 영화... 그냥 괜찮은정도?"
"15","미나리","4","내가 수준이 낮은건지.. 너무 난해하다..배우들 대사 전달도 잘 안됐을뿐더러 보는내내 지루했다.."
"16","친절한 금자씨","9","어릴 때는 몰랐는데 성인이 되고 나이가 들어서 보니 또 다르다 금자는 13년동안 얼마나 복수를 갈망했을까... 복수신은 잔인하다 생각들면서도 통쾌했다 영화속 요즘 활발하게 활동하는 반가운 배우들의 얼굴도 많고 좋았다"
"17","극장판 귀멸의 칼날: 무한열차편","10","27살,, 귀멸의칼날 보고 울기 딱 좋은 나이입니다...혼자 영화관가서 감동 먹고 오열했습니다...마지막 엔딩곡도 너무 좋습니당..."
"18","미나리","10","그냥 보세요.. 엄청난 영화임"
"19","카오스 워킹","5","캐릭터에만집중한 사건들"
"20","미나리","10","어디서나 잘 자라는 미나리처럼, 미국 그 어딘가에 정착했을 그들을 상상하게 만드는 영화."
"21","미나리","10","재밌게 잘봤네요ㅎㅎㅎ 마음이 따뜻해져요"
"22","킹 아서: 제왕의 검","9","생각없이 봤는데 스케일이 큰 영화네? 하면서 빠져들었다 다 아는 엑스칼리버 얘기인데 영화로 만드니 시간가는 줄 모르고 재밌게 봤다"
"23","미나리","8","갈등이있기에 해쳐나갈수있다"
"24","미나리","8","이민자들에게  큰 감동을 주었음이 분명하겠어요"
"25","미나리","6","하 그닥 결말 뭔가요?차라리 미나리 농사를 지어서 돈을 크게 번다 뭐 이런 것도 아니고"
"26","미나리","7","기대보다는 스토리가 큰 감흥은 없습니다연기는 잔잔하게 볼 만 합니다"
"27","죄 많은 소녀","8","연출을 좀 무겁게 했지만, 그로 인해 더 생생했다 전여빈 배우님 원석발견영화."
"28","극장판 귀멸의 칼날: 무한열차편","10","진짜 여러분들 휴지 챙겨가세요 4d로 봐도 재밌는데 4d로 보면 울거 같은 장면에서 의자가 움직여서 안울수도 있습니다. 진짜 개인 소장해서 여러번 보고 싶은 영화입니다."
"29","에놀라 홈즈","10","영화 잘 봤습니다 창작의 자유이니 너무 서로 헐뜯지 맙시다 근데 일부 남자들보고 반성하라는 말이 자주 보이는데 뭘 반성해야 되죠?? 여성이라고 무시하면서 산적 없는데 80년대 이후로 태어난 남자들은 거의다 저랑 비슷한 생각일거임 사회구조적인 문제와 기성세대가 잘못한걸 왜 우리한테 풀고있는지"
"30","미나리","8","잔잔한 영화생각보다 큰 감동은 아니었다.기대가 컸나?"
"31","포비아","2","그럭저럭. 서프라이즈 수준의 공포."
"32","도굴","5","롤토체스 하면서 사운드 채우기에는 적합했어요."
"33","미나리","6","영화는 밋밋했어요음악은 좀 촌스러워서 거슬렸구요배우들의 어색한 한국어가 몰입을 방해했어요어?이게 끝이야의 엔딩이었습니다"
"34","미나리","4","딱 상주는 사람들 취향인 영화.. 공감이 잘 안됨"
"35","꾼","10","와 나 평점 처음 써보는데 개재밌다 넷플에 나와서 아무생각 없이 틀었는데 존잼 반전에반전 그와중에 현빈 존잘 다들 꼭 보셈"
"36","극장판 귀멸의 칼날: 무한열차편","10","눈물바다....넘모 잼잇쟌아"
"37","미나리","6","마무리가 비교적 약했음"
"38","해리 포터와 불의 잔","10","롯데시네마랑 CGV 둘 다 봤는데 의자는 롯데시네마가 더 움직이고 특수효과는 CGV가 더 좋네요 근데 매장마다 다를 수 있으니 참고만 하세용"
"39","인랑","1","밀정은 완벽한데 인랑은 왜 이모양?"
"40","극장판 귀멸의 칼날: 무한열차편","10","쩔었다.. 애니를 극장가서 본것도 성인되고 처음이지만 이건 정말 볼만합니다"
"41","극장판 귀멸의 칼날: 무한열차편","10","난 너무 재밌었음 그럼 됐어"
"42","빽 투 더 퓨쳐 3","9","3부작이 서로 적절하고 자연스럽게 이어지면서 마지막 끝맺음까지 완벽한 고전명작"
"43","바이올렛 에버가든 - 영원과 자동 수기 인형 -","8","편지라는 매체가 가진 특징을 잘 살리면서, 서정적인 분위기, 극강의 작화, 멋진 OST까지. 자극적이지 않으면서 마음을 포근하게 적셔주는 고마운 시리즈."
